"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.0","0.0","_-1.071137=*_class=2","0.0","_-1.071137=*_class=2","_-1.071137","2"
"0.0","0.0","0.0","0.0","_1.499244=*_class=2","0.0","_1.499244=*_class=2","_1.499244","2"
"0.0","0.0","0.0","0.0","_2185.974100=*_class=2","0.0","_2185.974100=*_class=2","_2185.974100","2"
"0.0","0.0","0.0","0.0","_-2.739388=*_class=2","0.0","_-2.739388=*_class=2","_-2.739388","2"
"0.0","0.0","0.0","0.0","_862.747900=*_class=2","0.0","_862.747900=*_class=2","_862.747900","2"
"0.0","0.0","0.0","0.0","_1.779291=*_class=2","0.0","_1.779291=*_class=2","_1.779291","2"
"0.0","0.0","0.0","0.0","_-2.654529=*_class=2","0.0","_-2.654529=*_class=2","_-2.654529","2"
"0.0","0.0","0.0","0.0","_1.729739=*_class=2","0.0","_1.729739=*_class=2","_1.729739","2"
"0.0","0.0","0.0","0.0","_-0.902241=*_class=2","0.0","_-0.902241=*_class=2","_-0.902241","2"
"0.0","0.0","0.0","0.0","_-0.781959=*_class=2","0.0","_-0.781959=*_class=2","_-0.781959","2"
"0.0","0.0","0.0","0.0","_-0.467900=*_class=2","0.0","_-0.467900=*_class=2","_-0.467900","2"
"0.0","0.0","0.0","0.0","_-2.172101=*_class=2","0.0","_-2.172101=*_class=2","_-2.172101","2"
"0.0","0.0","0.0","0.0","_2.819354=*_class=2","0.0","_2.819354=*_class=2","_2.819354","2"
"0.0","0.0","0.0","0.0","_1059.756200=*_class=2","0.0","_1059.756200=*_class=2","_1059.756200","2"
"0.0","0.0","0.0","0.0","_-0.557197=*_class=2","0.0","_-0.557197=*_class=2","_-0.557197","2"
"0.0","0.0","0.0","0.0","_13831.753900=*_class=2","0.0","_13831.753900=*_class=2","_13831.753900","2"
"0.0","0.0","0.0","0.0","_-1.643650=*_class=2","0.0","_-1.643650=*_class=2","_-1.643650","2"
"0.0","0.0","0.0","0.0","_3357.112400=*_class=2","0.0","_3357.112400=*_class=2","_3357.112400","2"
"0.0","0.0","0.0","0.0","_15596.162100='(-inf-5139.2758]'_class=2","0.0","_15596.162100='(-inf-5139.2758]'_class=2","_15596.162100","2"
"0.0","0.0","0.0","0.0","_2789.383100=*_class=2","0.0","_2789.383100=*_class=2","_2789.383100","2"
"0.0","0.0","0.0","0.0","_-0.236907=*_class=2","0.0","_-0.236907=*_class=2","_-0.236907","2"
"0.0","0.0","0.0","0.0","_-5.056975=*_class=2","0.0","_-5.056975=*_class=2","_-5.056975","2"
"0.0","0.0","0.0","0.0","_-0.571480=*_class=2","0.0","_-0.571480=*_class=2","_-0.571480","2"
"0.0","0.0","0.0","0.0","_7.512213=*_class=2","0.0","_7.512213=*_class=2","_7.512213","2"
"0.0","0.0","0.0","0.0","_-3.791499=*_class=2","0.0","_-3.791499=*_class=2","_-3.791499","2"
"0.0","0.0","0.0","0.0","_6.915721=*_class=2","0.0","_6.915721=*_class=2","_6.915721","2"
"0.0","0.0","0.0","0.0","_3.555169=*_class=2","0.0","_3.555169=*_class=2","_3.555169","2"
"0.0","0.0","0.0","0.0","_-0.545079=*_class=2","0.0","_-0.545079=*_class=2","_-0.545079","2"
"0.0","0.0","0.0","0.0","_-1.200617=*_class=2","0.0","_-1.200617=*_class=2","_-1.200617","2"
"0.0","0.0","0.0","0.0","_0.342575=*_class=2","0.0","_0.342575=*_class=2","_0.342575","2"
"0.0","0.0","0.0","0.0","_1.896047=*_class=2","0.0","_1.896047=*_class=2","_1.896047","2"
"0.0","0.0","0.0","0.0","_6.261430=*_class=2","0.0","_6.261430=*_class=2","_6.261430","2"
"0.0","0.0","0.0","0.0","_1.340477=*_class=2","0.0","_1.340477=*_class=2","_1.340477","2"
"0.0","0.0","0.0","0.0","_2.118983=*_class=2","0.0","_2.118983=*_class=2","_2.118983","2"
"0.0","0.0","0.0","0.0","_-2.344130=*_class=2","0.0","_-2.344130=*_class=2","_-2.344130","2"
"0.0","0.0","0.0","0.0","_13540.673800=*_class=2","0.0","_13540.673800=*_class=2","_13540.673800","2"
"0.0","0.0","0.0","0.0","_2.160130=*_class=2","0.0","_2.160130=*_class=2","_2.160130","2"
